u_true,u_pred,v_true,v_pred,date
0.043787427,0.020608367,-0.007005988,-0.0050544795,2023-06-16
0.00039806752,-0.0055619013,-0.012950463,-0.019624438,2023-09-29
0.0026803212,0.0050982907,-0.013295455,-0.0031655151,2023-06-21
-0.00013268917,-0.001293987,-0.003847986,-0.015531693,2023-05-22
0.035746463,0.023847248,-0.026245918,-0.015773848,2023-07-05
0.015391944,0.0114195775,-0.026139766,-0.018192459,2023-06-04
0.0052014156,0.0018481631,0.00047768102,-0.005846793,2023-06-12
-0.039249457,-0.02838209,-0.0026272456,-0.008537427,2023-04-17
0.017753812,0.017546933,-0.00809404,-0.0034723282,2023-06-20
0.037922565,0.0192782,-0.02452096,-0.015390828,2023-08-05
0.034260344,0.018339697,0.007404056,-0.0023100246,2023-07-30
0.041558247,0.016501913,-0.027546272,-0.01031925,2023-07-01
0.033145756,0.020576032,-0.017169978,-0.014257867,2023-08-03
0.020513745,0.020718062,-0.020566821,-0.015515231,2023-07-28
0.038294096,0.022247592,-0.017568046,-0.016733367,2023-08-01
-0.01446312,-0.007613862,0.034127656,0.016077042,2023-09-19
-0.018921476,-0.027057542,-0.030412357,-0.051774636,2023-03-30
0.0066609965,0.009226883,5.307567e-05,0.0009894911,2023-06-09
-0.01738228,-0.032420866,0.007802123,0.00669624,2023-05-22
-0.0039806752,0.0074444916,-0.035560697,-0.021244954,2023-08-27
0.034738027,0.01802952,-0.011305117,-0.0048921667,2023-08-07
0.03553416,0.021899406,-0.007669434,-0.0065382235,2023-07-30
0.0062629287,0.0065671504,-0.008040964,-0.033917136,2023-03-16
-0.007510207,-0.023672784,-0.004617583,-0.023900356,2023-03-06
0.032853838,0.015541835,0.0021230266,-0.0026599448,2023-06-20
-0.005307567,-0.022678932,-0.013799674,-0.01976807,2023-03-14
-0.022742923,-0.025740026,-0.009049402,-0.012191612,2023-05-05
-0.022397932,-0.024006302,-0.02133642,-0.01611818,2023-04-01
-0.019054165,-0.013069609,-0.0023353293,0.0074719824,2023-05-04
-0.0013003539,-0.0029203985,-0.005917937,-0.011206422,2023-03-26
-0.027652424,-0.023063293,-0.0050687264,0.0018415675,2023-05-02
-0.0516957,-0.025856705,0.005732172,0.008177483,2023-04-21
-0.008730947,-0.009074936,-0.010429369,-0.010349404,2023-05-13
0.01029668,0.012576858,0.005254491,-0.008803248,2023-08-17
-0.050581113,-0.0496516,0.0033968429,-0.0026208963,2023-04-17
0.02388405,0.010858955,-0.055198696,-0.025722556,2023-07-01
-0.020168753,-0.017774688,-0.011145891,-0.0045403913,2023-04-03
0.041213255,0.021678345,-0.018178416,-0.012375828,2023-07-27
0.03014698,0.019293575,-0.025821313,-0.0056604277,2023-07-06
0.034658413,0.019454038,-0.021230267,-0.011303507,2023-07-02
0.01679845,0.015171892,-0.01090705,-0.019554824,2023-06-24
0.0237779,0.0090236105,-0.05440256,-0.02651732,2023-08-30
0.04081519,0.02883266,-0.031208493,-0.029706895,2023-08-24
-0.008385955,-0.01312189,-0.0040602884,-0.003289178,2023-03-10
0.011207075,0.002007937,-0.037820347,-0.023912419,2023-09-24
0.043415897,0.013470882,-0.048511162,-0.014791448,2023-07-04
0.036595672,0.018385721,-0.021761024,-0.008756546,2023-08-09
-0.013587371,-0.014718978,-0.002255716,-0.0019820854,2023-05-11
