metric,stat,value
u_pred_minus_u_true,mae,0.010735234316149674
u_pred_minus_u_true,rmse,0.01406038132782082
v_pred_minus_v_true,mae,0.010329129245980373
v_pred_minus_v_true,rmse,0.014770424206678394
raw_dot_mean,value,0.0010319326109490933
raw_dot_clip_mean,value,0.0010319326109490933
mean_of_arccos_u_pred_dot_u_true_raw_rad,mean,1.5697643934233014
mean_of_arccos_u_pred_dot_u_true_raw_rad,std,0.0008813810851690336
mean_of_arccos_u_pred_dot_u_true_raw_deg,mean,89.94087457306888
mean_of_arccos_u_pred_dot_u_true_raw_deg,std,0.05049941632284623
g_hat_dot_gradZ0_hat,mean,0.98308152004551
g_hat_dot_gradZ0_hat,std,0.031234356402354856
g_hat_dot_gradZ0_hat,min,0.4739954987941556
g_hat_dot_gradZ0_hat,max,0.9999999978851694
